codigo_ocorrencia2;aeronave_voo_origem;aeronave_voo_destino;aeronave_fase_operacao;aeronave_nivel_dano;aeronave_fatalidades_total;matricula;assentos
45250;MALWEE;DOLORES;CRUZEIRO;DESTRUÍDA;1;PRKLA;4
45251;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM;SUBSTANCIAL;1;PTGUV;1
45252;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM;LEVE;0;CSTOD;0
45253;FORA DE AERODROMO;FORA DE AERODROMO;POUSO;NENHUM;0;PRSPJ;6
45267;POCONÉ;FLYGHT COMPANY;SUBIDA;DESTRUÍDA;4;PRVMG;0
45268;SANTOS DUMONT;ITANHAÉM;DECOLAGEM;SUBSTANCIAL;0;PPGLA;3
45269;NELSON RODRIGUES GUIMARÃES;MÁRIO DE ALMEIDA FRANCO;CORRIDA APÓS POUSO;SUBSTANCIAL;0;PRCVJ;4
45270;FAZENDA BRUSQUE;FAZENDA BRUSQUE;ESPECIALIZADA;DESTRUÍDA;0;PTUOS;1
45271;SERAFIN ENOSS BERTASO;FORA DE AERODROMO;DECOLAGEM;SUBSTANCIAL;0;PTHVL;2
45272;ERECHIM;ERECHIM;CORRIDA APÓS POUSO;SUBSTANCIAL;0;PPFLK;2
45273;BELÉM NOVO;BELÉM NOVO;POUSO;SUBSTANCIAL;0;PPFAX;3
45274;GOVERNADOR JOSÉ RICHA;GOVERNADOR JOSÉ RICHA;ARREMETIDA NO SOLO;SUBSTANCIAL;0;PPGMG;2
45277;FAZENDA SÃO JOÃO;FAZENDA SÃO JOÃO;ESPECIALIZADA;SUBSTANCIAL;0;PTUCU;1
45279;CARLOS DRUMMOND DE ANDRADE / PAMPULHA;SEBASTIÃO GOMES DE SOUZA;CRUZEIRO;DESTRUÍDA;2;PRLJL;4
45280;FORA DE AERODROMO;FORA DE AERODROMO;CRUZEIRO;DESTRUÍDA;1;PTIOT;6
45282;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM;SUBSTANCIAL;0;PTUOA;1
